State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,14/02/2025,300,2278,1400
"Andhra Pradesh",Anantapur,Hindupur,"Tamarind Fruit","Non A/c Flower",FAQ,14/02/2025,4000,15500,6000
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,14/02/2025,3300,3500,3500
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Local,FAQ,14/02/2025,900,1600,1300
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,14/02/2025,600,1000,800
"Andhra Pradesh",Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,14/02/2025,1000,3000,2000
"Andhra Pradesh","East Godavari",Peddapuram,Paddy(Dhan)(Common),1001,FAQ,14/02/2025,2300,2320,2310
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Desi(Bontha),Large,14/02/2025,1400,1800,1600
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,14/02/2025,10001,11000,10650
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,14/02/2025,4000,4900,4500
"Andhra Pradesh",Krishna,Mylavaram,Paddy(Dhan)(Common),"B P T",FAQ,14/02/2025,2350,2600,2450
"Andhra Pradesh",Krishna,Tiruvuru,Cotton,Bunny,Non-FAQ,14/02/2025,7200,7300,7250
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,14/02/2025,2300,2400,2350
"Andhra Pradesh",Krishna,Tiruvuru,Rice,"1009 Kar",FAQ,14/02/2025,4500,4700,4600
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,14/02/2025,4777,7475,7199
"Andhra Pradesh",Kurnool,Kurnool,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,14/02/2025,4100,6036,5960
"Andhra Pradesh",Kurnool,Kurnool,"Dry Chillies",Local,FAQ,14/02/2025,1009,13408,8699
